cluster,pose_index,description
0,36,"a person raises and lowers their arms, turns, then lowers so their arms and legs are on the floor with their stomach facing up#a/DET person/NOUN raise/VERB and/CCONJ lower/VERB their/DET arm/NOUN turn/NOUN then/ADV lower/VERB so/ADV their/DET arm/NOUN and/CCONJ leg/NOUN are/AUX on/ADP the/DET floor/NOUN with/ADP their/DET stomach/NOUN face/VERB up/ADP#0.0#0.0
a person standing with their arms out leans backwards into a bridge styled pose.#a/DET person/NOUN stand/VERB with/ADP their/DET arm/NOUN out/ADP lean/NOUN backwards/ADV into/ADP a/DET bridge/NOUN style/VERB pose/NOUN#0.0#0.0
a person walks to their left, facing that direction, and bends back into a bridge, ending with their hands on the ground as a part of being in the bridge position.#a/DET person/NOUN walk/VERB to/ADP their/DET left/NOUN face/VERB that/DET direction/NOUN and/CCONJ bend/VERB back/ADV into/ADP a/DET bridge/NOUN end/VERB with/ADP their/DET hand/NOUN on/ADP the/DET ground/NOUN as/SCONJ a/DET part/NOUN of/ADP being/AUX in/ADP the/DET bridge/NOUN position/NOUN#0.0#0.0
"
0,58,"he moved backwards and then start dancing#he/PRON move/VERB backwards/ADV and/CCONJ then/ADV start/VERB dance/VERB#0.0#0.0
the person takes small steps in an arc while hopping#the/DET person/NOUN take/VERB small/ADJ step/NOUN in/ADP an/DET arc/NOUN while/SCONJ hop/VERB#0.0#0.0
a person starts walking in a straight line, then starts jogging on the spot, and then jogs in a circle.#a/DET person/NOUN start/VERB walk/VERB in/ADP a/DET straight/ADJ line/NOUN then/ADV start/VERB jog/VERB on/ADP the/DET spot/NOUN and/CCONJ then/ADV jog/VERB in/ADP a/DET circle/NOUN#1.0#8.0
"
0,95,"a person waving with the left hand.#a/DET person/NOUN wave/VERB with/ADP the/DET left/ADJ hand/NOUN#0.0#0.0
a person waves their left hand above their head#a/DET person/NOUN wave/VERB their/DET left/ADJ hand/NOUN above/ADP their/DET head/NOUN#0.0#0.0
a person raises their left arm and waves their hand side to side.#a/DET person/NOUN raise/VERB their/DET left/ADJ arm/NOUN and/CCONJ wave/VERB their/DET hand/NOUN side/NOUN to/PART side/VERB#0.0#0.0
"
0,115,"a man walks forward then turns around and sits, then gets up and walks back.#a/DET man/NOUN walk/VERB forward/ADV then/ADV turn/VERB around/ADP and/CCONJ sit/VERB then/ADV get/VERB up/ADV and/CCONJ walk/VERB back/ADV#0.0#0.0
person walks up the turns around and sits down then gets back up and walks back#person/NOUN walk/VERB up/ADP the/DET turn/NOUN around/ADP and/CCONJ sit/VERB down/ADV then/ADV get/VERB back/ADV up/ADV and/CCONJ walk/VERB back/ADV#0.0#0.0
a man walks forward, turns around, sits on something and then walks back to where he started.#a/DET man/NOUN walk/VERB forward/ADV turn/VERB around/ADV sit/VERB on/ADP something/PRON and/CCONJ then/ADV walk/VERB back/ADV to/ADP where/ADV he/PRON start/VERB#0.0#0.0
"
0,138,"someone kneels down and grabs an object with their right hand.#someone/PRON kneel/VERB down/ADP and/CCONJ grab/VERB an/DET object/NOUN with/ADP their/DET right/ADJ hand/NOUN#0.0#0.0
a person takes a step forward and kneels down.#a/DET person/NOUN take/VERB a/DET step/NOUN forward/ADV and/CCONJ kneel/VERB down/ADP#0.0#0.0
a person walks forward and kneels down bracing with their right hand.#a/DET person/NOUN walk/VERB forward/ADV and/CCONJ kneel/VERB down/ADP brace/VERB with/ADP their/DET right/ADJ hand/NOUN#0.0#0.0
"
0,172,"a person steps forward slightly then leans back to sit down.#a/DET person/NOUN step/VERB forward/ADV slightly/ADV then/ADV lean/VERB back/ADV to/PART sit/VERB down/ADP#0.0#0.0
a person goes from standing to sitting down.#a/DET person/NOUN go/VERB from/ADP stand/VERB to/ADP sit/VERB down/ADV#0.0#0.0
a person steps forward then squats down#a/DET person/NOUN step/VERB forward/ADV then/ADV squat/VERB down/ADP#0.0#0.0
"
0,190,"a person jumps backwards slowly.#a/DET person/NOUN jump/VERB backwards/ADV slowly/ADV#0.0#0.0
someone jumps backward with both feet.#someone/PRON jump/VERB backward/ADV with/ADP both/DET foot/NOUN#0.0#5.0
a person jumps backwards as a crack forms in the ground underneath them.#a/DET person/NOUN jump/VERB backwards/ADV as/SCONJ a/DET crack/NOUN form/NOUN in/ADP the/DET ground/NOUN underneath/ADP them/PRON#0.0#0.0
"
0,333,"someone hunched over has their hands up near their chin and moves them around like an animal.#someone/PRON hunch/VERB over/ADV has/AUX their/DET hand/NOUN up/ADP near/SCONJ their/DET chin/NOUN and/CCONJ move/VERB them/PRON around/ADP like/SCONJ an/DET animal/NOUN#0.0#0.0
a person holds their hand in front of them and turns right to left in a zombie motion#a/DET person/NOUN hold/VERB their/DET hand/NOUN in/ADP front/NOUN of/ADP them/PRON and/CCONJ turn/VERB right/ADJ to/ADP left/VERB in/ADP a/DET zombie/NOUN motion/NOUN#0.0#0.0
a person standing with their hands out in front of them, elbows bent, palms facing down like a dog begging, scratches at the air, looks from side to side then up and scratches the air again.#a/DET person/NOUN stand/VERB with/ADP their/DET hand/NOUN out/ADP in/ADP front/NOUN of/ADP them/PRON elbow/NOUN bent/ADJ palm/NOUN face/VERB down/ADV like/SCONJ a/DET dog/NOUN beg/VERB scratch/VERB at/ADP the/DET air/NOUN look/VERB from/ADP side/NOUN to/PART side/VERB then/ADV up/ADV and/CCONJ scratch/VERB the/DET air/NOUN again/ADV#0.0#0.0
"
0,381,"figure side steps to the right.#figure/NOUN side/NOUN step/NOUN to/ADP the/DET right/NOUN#0.0#0.0
a person steps forward once#a/DET person/NOUN step/VERB forward/ADV once/ADV#0.0#0.0
someone stand then move to the right#someone/PRON stand/VERB then/ADV move/VERB to/ADP the/DET right/NOUN#0.0#0.0
"
0,485,"a person raises their right hand and waves.#a/DET person/NOUN raise/VERB their/DET right/ADJ hand/NOUN and/CCONJ wave/NOUN#0.0#0.0
a person is waving their right palm sideways in front of their shoulder at fast pace.#a/DET person/NOUN is/AUX wave/VERB their/DET right/ADJ palm/NOUN sideways/ADV in/ADP front/NOUN of/ADP their/DET shoulder/NOUN at/ADP fast/ADJ pace/NOUN#0.0#0.0
a person is waving hi with his right hand.#a/DET person/NOUN is/AUX wave/VERB hi/INTJ with/ADP his/DET right/ADJ hand/NOUN#0.0#0.0
"
0,490,"a person in a standing position jumps straight up and down once.#a/DET person/NOUN in/ADP a/DET standing/ADJ position/NOUN jump/VERB straight/ADV up/ADV and/CCONJ down/ADV once/ADV#0.0#0.0
a person squats at the knees jumping up in the air and landing to stand upright without moving their arms.#a/DET person/NOUN squat/VERB at/ADP the/DET knee/NOUN jump/VERB up/ADP in/ADP the/DET air/NOUN and/CCONJ landing/NOUN to/PART stand/VERB upright/ADJ without/ADP move/VERB their/DET arm/NOUN#0.0#0.0
a person squats, jumps and lands in standing position#a/DET person/NOUN squat/VERB jumps/PROPN and/CCONJ land/NOUN in/ADP stand/VERB position/NOUN#0.0#0.0
"
0,500,"a person put his hand to uis face to yell#a/DET person/NOUN put/VERB his/DET hand/NOUN to/ADP uis/PROPN face/NOUN to/PART yell/PROPN#0.0#0.0
a man is standing and brings both hands to his face as if he is guarding his face.#a/DET man/NOUN is/AUX stand/VERB and/CCONJ bring/VERB both/DET hand/NOUN to/ADP his/DET face/NOUN as/SCONJ if/SCONJ he/PRON is/AUX guard/VERB his/DET face/NOUN#0.0#0.0
a man bends his arms and raises his hands towards the region of his eyes.#a/DET man/NOUN bend/VERB his/DET arm/NOUN and/CCONJ raise/VERB his/DET hand/NOUN towards/ADP the/DET region/NOUN of/ADP his/DET eye/NOUN#0.0#0.0
"
0,544,"body reaches down to left, straighten and twist to right bring left arm up and then reaches back down to left side.#body/NOUN reach/VERB down/ADP to/ADP left/ADJ straighten/VERB and/CCONJ twist/NOUN to/ADP right/ADV bring/VERB left/ADJ arm/NOUN up/ADP and/CCONJ then/ADV reach/VERB back/ADV down/ADV to/ADP left/ADJ side/NOUN#0.0#0.0
a person lifts an object and places it down in another spot.#a/DET person/NOUN lift/VERB an/DET object/NOUN and/CCONJ place/VERB it/PRON down/ADP in/ADP another/DET spot/NOUN#0.0#0.0
a person lifts an invisible object, tilting it to the right.#a/DET person/NOUN lift/VERB an/DET invisible/ADJ object/NOUN tilt/VERB it/PRON to/ADP the/DET right/NOUN#0.0#0.0
"
0,827,"the person is walking back and forth at a very slow pace#the/DET person/NOUN is/AUX walk/VERB back/ADV and/CCONJ forth/ADV at/ADP a/DET very/ADV slow/ADJ pace/NOUN#0.0#0.0
a man staggers forward in on a diagonal and then turns around.#a/DET man/NOUN stagger/VERB forward/ADV in/ADV on/ADP a/DET diagonal/ADJ and/CCONJ then/ADV turn/VERB around/ADV#0.0#0.0
a man staggers forward then turns around and staggers half way back.#a/DET man/NOUN stagger/VERB forward/ADV then/ADV turn/VERB around/ADP and/CCONJ stagger/VERB half/ADJ way/ADV back/ADV#0.0#0.0
"
